,member,category,summary_text,amount
0,Jon Trickett,Donations and other support (including loans) for activities as an MP,Communications Workers' Union ,2000
1,Dame Siobhain McDonagh,"Gifts, benefits and hospitality from UK sources",Waheed Alli ,1200000
2,Ed Davey,"Gifts, benefits and hospitality from UK sources",National Liberal Club ,798
3,Tim Farron,"Gifts, benefits and hospitality from UK sources",National Liberal Club ,1102
4,Ruth Cadbury,Family members engaged in third-party lobbying,Nicholas Gash employed as Lobbyist,0
5,Feryal Clark,Family members engaged in third-party lobbying,Andrew Clark employed as Lobbyist,0
6,Sarah Green,Family members engaged in third-party lobbying,Daniel Paterson employed as Lobbyist,0
7,Dame Nia Griffith,Family members engaged in third-party lobbying,Philip Brady employed as Lobbyist,0
8,Sarah Jones,Family members engaged in third-party lobbying,Joseph Jones employed as Lobbyist,0
9,Wes Streeting,Family members engaged in third-party lobbying,Joseph Dancey employed as Lobbyist,0
10,Sir Mark Tami,Family members engaged in third-party lobbying,Oscar Tami employed as Lobbyist,0
11,Sir John Whittingdale,Family members engaged in third-party lobbying,Alice Whittingdale employed as Lobbyist,0
12,Ms Diane Abbott,Miscellaneous,"Since December 2015, a trustee of the Diane Abbott Foundation, which works to excel and improve education. This is an unpaid role.",0
13,Tahir Ali,Miscellaneous,"Engineer, Royal Mail. On unpaid leave since 13 December 2019.",0
14,Mr Gregory Campbell,Miscellaneous,Unremunerated interests currently registered on the NI Assembly website register do not appear here as they are not registrable under House of Commons rules.,0
15,Sir Christopher Chope,Miscellaneous,Retired barrister.,0
16,Daniel Zeichner,Miscellaneous,A Director of the Industry & Parliament Trust. This is an unpaid role.,0
17,James Wild,Miscellaneous,Member of the King’s Lynn Town Deal Board. This is an unpaid role.,0
18,James Wild,Miscellaneous,"Governor, King Edward VII Academy. This is an unpaid position on the Academy Committee.",0
19,Karl Turner,Miscellaneous,Trustee of Pelican Park Community Trust. This is an unpaid role.,0
20,Sir Jeremy Wright,Miscellaneous,Barrister (non,0
21,Sammy Wilson,Miscellaneous,Board Member of the Centre for Brexit Policy. This is an unpaid role.,0
22,Matt Vickers,Miscellaneous,Deputy Chairman of the Conservative Party. This post carries a part,0
23,John Glen,Shareholdings,Shares in Endava Ltd,0
24,John Glen,Shareholdings,Shares in Softiron,0
25,John Glen,Shareholdings,Shares in Blue Gold Ltd (BGL),0
26,Kevin Hollinrake,Shareholdings,Shares in Property Franchise Group plc,0
27,Matt Western,Shareholdings,Shares in Apple,0
28,Sir Andrew Mitchell,Shareholdings,Shares in Equinox International Holdings Limited,0
29,Jesse Norman,Shareholdings,Shares in Genie International Toys,0
30,Wendy Chamberlain,Miscellaneous,"From my election to parliament, unremunerated trustee of the Links Trust, St Andrews, which manages the golf courses owned by the public around the town. As a trustee I receive a card entitling me to 25% discount in the golf course shops or restaurants.",0
31,Jerome Mayhew,Shareholdings,Shares in Walsingham Estate Co Ltd (beneficial interest),0
32,Nigel Huddleston,Shareholdings,Shares in Alphabet Inc.,0
33,Sir James Cleverly,Miscellaneous,Officer in the Reserve Forces. I have received no payments since my election.,0
34,Sir Geoffrey Clifton-Brown,Miscellaneous,Fellow of the Royal Institute of Chartered Surveyors (unremunerated).,0
35,Sir Geoffrey Clifton-Brown,Miscellaneous,Director of Gresham Hall Glamping Ltd (unremunerated).,0
36,Daisy Cooper,Miscellaneous,"Vice President of the Local Government Association (LGA), which works with councils to support, promote and improve local government.",0
37,Jeremy Corbyn,Miscellaneous,"Unpaid director of the Peace and Justice Project, a company limited by guarantee. The company promotes peace and justice issues, both domestic and international.",0
38,Claire Coutinho,Miscellaneous,"I have been involved in fundraising activities for the Friendship Project, a ringfenced fund managed by the Tandridge Community Fund. This raises money for distribution to groups working to address social isolation in East Surrey. I will be consulted but will not have a final say on how funds are distributed.",0
39,Ms Stella Creasy,Miscellaneous,Chair of the Labour Movement for Europe. This is an unpaid role.,0
40,Ed Davey,Miscellaneous,"Board Member (unpaid) of Fit for the Future, a network of mainly charities helping organisations to become climate",0
41,Ed Davey,Miscellaneous,"Trustee of Tourism for all, a charity.",0
42,Ed Davey,Miscellaneous,"Board member of POWERful Women (PfW), a professional initiative to advance gender diversity within the energy sector.",0
43,Mims Davies,Miscellaneous,"A regular volunteer radio presenter of a retro weekend show for the local community radio station, Mid Sussex Radio (previously Burgess Hill Radio).",0
44,David Davis,Miscellaneous,"Unremunerated board member, New City Network (London) Ltd; a not",0
45,Dave Doogan,Miscellaneous,"Councillor, Perth and Kinross Council from 1st January 2020. I receive no allowances for this role.",0
46,Sir Oliver Dowden,Miscellaneous,"A patron of the Peace Hospice, Watford (unpaid).",0
47,Sarah Dyke,Miscellaneous,Trustee of Wincanton Recreational Trust. This is an unpaid role.,0
48,Sarah Dyke,Miscellaneous,Director of Vintage Ghetto (unpaid).,0
49,Sarah Owen,Miscellaneous,"Vice Chair of the HOPE not Hate Parliamentary Group, an anti",0
50,Jess Phillips,Miscellaneous,A trustee of the Stacy Wanjiku Welfare Trust. Having raised money for the education and welfare of Stacey Wanjiru I am a trustee of the fund. Stacey is the daughter of Agnes Wanjiru a Kenyan woman murdered in 2012 in a case linked to British Armed Forces. This is an unpaid role.,0
51,Jess Phillips,Miscellaneous,A director of Birmingham Museums Trust which manages Birmingham Museums including a site in my constituency. This is an unpaid role.,0
52,Chris Philp,Miscellaneous,A company to which a subsidiary of Pluto Partners LLP provides services became accredited for the Coronavirus Business Interruption Loan Scheme.,0
53,Chris Philp,Miscellaneous,A company in which Millgap Ltd holds beneficial ownership of 0.375% became accredited for the Coronavirus Business Interruption Loan Scheme.,0
54,Rushanara Ali,Miscellaneous,"A Trustee of the Sisters Trust, a registered charity that makes donations to organisations committed to challenging racial and sexual inequality. This is an unpaid role.",0
55,Rushanara Ali,Miscellaneous,"A Governor (and a Member of the Council of Management until 27/09/24) of The Ditchley Foundation, an organisation that helps sustain peace, freedom and the rule of law; and works towards the renewal of democratic societies, states and alliances. This is an unpaid role.",0
56,Rushanara Ali,Miscellaneous,"Chair of Trustees of UpRising Leadership, a registered charity providing UK",0
