,Name,Party,Constituency
0,Diane Abbott,Independent,Hackney North and Stoke Newington
1,Jack Abbott,Labour/Co-operative,Ipswich
2,Debbie Abrahams,Labour,Oldham East and Saddleworth
3,Shockat Adam,Independent,Leicester South
4,Zubir Ahmed,Labour,Glasgow South West
5,Luke Akehurst,Labour,North Durham
6,Sadik Al-Hassan,Labour,North Somerset
7,Bayo Alaba,Labour,Southend East and Rochford
8,Dan Aldridge,Labour,Weston-super-Mare
9,Douglas Alexander,Labour/Co-operative,Lothian East
10,Heidi Alexander,Labour,Swindon South
11,Rushanara Ali,Labour,Bethnal Green and Stepney
12,Tahir Ali,Labour,Birmingham Hall Green and Moseley
13,Rosena Allin-Khan,Labour,Tooting
14,Jim Allister,Traditional Unionist Voice,North Antrim
15,Gideon Amos,Liberal Democrat,Taunton and Wellington
16,Callum Anderson,Labour,Buckingham and Bletchley
17,Fleur Anderson,Labour,Putney
18,Lee Anderson,Reform UK,Ashfield
19,Stuart Anderson,Conservative,South Shropshire
20,Stuart Andrew,Conservative,Daventry
21,Tonia Antoniazzi,Labour,Gower
22,Steffan Aquarone,Liberal Democrat,North Norfolk
23,Edward Argar,Conservative,Melton and Syston
24,Scott Arthur,Labour,Edinburgh South West
25,Jessica Asato,Labour,Lowestoft
26,James Asser,Labour,West Ham and Beckton
27,Jas Athwal,Labour,Ilford South
28,Victoria Atkins,Conservative,Louth and Horncastle
29,Catherine Atkinson,Labour,Derby North
30,Lewis Atkinson,Labour,Sunderland Central
31,Josh Babarinde,Liberal Democrat,Eastbourne
32,Gareth Bacon,Conservative,Orpington
33,Kemi Badenoch,Conservative,North West Essex
34,Calvin Bailey,Labour,Leyton and Wanstead
35,Olivia Bailey,Labour,Reading West and Mid Berkshire
36,David Baines,Labour,St Helens North
37,Alex Baker,Labour,Aldershot
38,Richard Baker,Labour,Glenrothes and Mid Fife
39,Harriett Baldwin,Conservative,West Worcestershire
40,Alex Ballinger,Labour,Halesowen
41,Antonia Bance,Labour,Tipton and Wednesbury
42,Steve Barclay,Conservative,North East Cambridgeshire
43,Paula Barker,Labour,Liverpool Wavertree
44,Lee Barron,Labour,Corby and East Northamptonshire
45,Alex Barros-Curtis,Labour,Cardiff West
46,Johanna Baxter,Labour,Paisley and Renfrewshire South
47,Danny Beales,Labour,Uxbridge and South Ruislip
48,Lorraine Beavers,Labour,Blackpool North and Fleetwood
49,Peter Bedford,Conservative,Mid Leicestershire
50,Órfhlaith Begley,Sinn Féin,West Tyrone
51,Apsana Begum,Labour,Poplar and Limehouse
52,Torsten Bell,Labour,Swansea West
53,Hilary Benn,Labour,Leeds South
54,Alison Bennett,Liberal Democrat,Mid Sussex
55,Siân Berry,Green,Brighton Pavilion
56,Clive Betts,Labour,Sheffield South East
57,Saqib Bhatti,Conservative,Meriden and Solihull East
58,Polly Billington,Labour,East Thanet
59,Matt Bishop,Labour,Forest of Dean
60,Bob Blackman,Conservative,Harrow East
61,Kirsty Blackman,Scottish National Party,Aberdeen North
62,Olivia Blake,Labour,Sheffield Hallam
63,Rachel Blake,Labour/Co-operative,Cities of London and Westminster
64,Christopher Bloore,Labour,Redditch
65,Elsie Blundell,Labour,Heywood and Middleton North
66,Kevin Bonavia,Labour,Stevenage
67,Sarah Bool,Conservative,South Northamptonshire
68,Jade Botterill,Labour,Ossett and Denby Dale
69,Andrew Bowie,Conservative,West Aberdeenshire and Kincardine
70,Sureena Brackenridge,Labour,Wolverhampton North East
71,Karen Bradley,Conservative,Staffordshire Moorlands
72,Aphra Brandreth,Conservative,Chester South and Eddisbury
73,Jonathan Brash,Labour,Hartlepool
74,Suella Braverman,Conservative,Fareham and Waterlooville
75,Alex Brewer,Liberal Democrat,North East Hampshire
76,Phil Brickell,Labour,Bolton West
77,Jessica Brown-Fuller,Liberal Democrat,Chichester
78,Chris Bryant,Labour,Rhondda and Ogmore
79,Julia Buckley,Labour,Shrewsbury
80,Alex Burghart,Conservative,Brentwood and Ongar
81,Richard Burgon,Labour,Leeds East
82,Maureen Burke,Labour,Glasgow North East
83,David Burton-Sampson,Labour,Southend West and Leigh
84,Dawn Butler,Labour,Brent East
85,Ian Byrne,Labour,Liverpool West Derby
86,Liam Byrne,Labour,Birmingham Hodge Hill and Solihull North
87,Ruth Cadbury,Labour,Brentford and Isleworth
88,Nesil Caliskan,Labour,Barking
89,Alan Campbell,Labour,Tynemouth
90,Gregory Campbell,DUP,East Londonderry
91,Irene Campbell,Labour,North Ayrshire and Arran
92,Juliet Campbell,Labour,Broxtowe
93,Markus Campbell-Savours,Labour,Penrith and Solway
94,Charlotte Cane,Liberal Democrat,Ely and East Cambridgeshire
95,Dan Carden,Labour,Liverpool Walton
96,Sam Carling,Labour,North West Cambridgeshire
97,Alistair Carmichael,Liberal Democrat,Orkney and Shetland
98,Alistair Carns,Labour,Birmingham Selly Oak
99,James Cartlidge,Conservative,South Suffolk
100,David Chadwick,Liberal Democrat,"Brecon, Radnor and Cwm Tawe"
101,Wendy Chamberlain,Liberal Democrat,North East Fife
102,Danny Chambers,Liberal Democrat,Winchester
103,Sarah Champion,Labour,Rotherham
