,name,vote,sentiment_number
0,Diane Abbott, paying higher benefits over longer periods for those unable to work due to illness or disability,1
1,Diane Abbott, measures to prevent climate change,1
2,Diane Abbott, more powers for the devolved administration in Northern Ireland,1
3,Diane Abbott, equal gay rights,1
4,Diane Abbott, laws to promote equality and human rights,1
5,Debbie Abrahams, fewer obstacles for access to abortion,1
6,Debbie Abrahams, measures to prevent climate change,1
7,Debbie Abrahams, laws to promote equality and human rights,1
8,Debbie Abrahams, paying higher benefits over longer periods for those unable to work due to illness or disability,1
9,Debbie Abrahams, raising welfare benefits at least in line with prices,1
10,Douglas Alexander, Labours anti-terrorism laws,1
11,Douglas Alexander, introducing ID cards,1
12,Douglas Alexander, a stricter asylum system,1
13,Heidi Alexander, paying higher benefits over longer periods for those unable to work due to illness or disability,1
14,Heidi Alexander, increasing capital gains tax,1
15,Rushanara Ali, paying higher benefits over longer periods for those unable to work due to illness or disability,1
16,Rushanara Ali, raising welfare benefits at least in line with prices,1
17,Rushanara Ali, more EU integration,1
18,Rushanara Ali, a right to remain for EU nationals already in living in the UK,1
19,Rushanara Ali, increasing capital gains tax,1
20,Rushanara Ali, laws to promote equality and human rights,1
21,Rushanara Ali, more powers for the devolved administration in Northern Ireland,1
22,Rushanara Ali, measures to prevent climate change,1
23,Tahir Ali, measures to prevent climate change,1
24,Rosena Allin-Khan, more EU integration,1
25,Rosena Allin-Khan, UK membership of the EU,1
26,Rosena Allin-Khan, fewer obstacles for access to abortion,1
27,Rosena Allin-Khan, more powers for the devolved administration in Northern Ireland,1
28,Rosena Allin-Khan, measures to prevent climate change,1
29,Lee Anderson, stronger laws and enforcement of immigration rules,1
30,Stuart Anderson, a stricter asylum system,1
31,Stuart Anderson, stronger laws and enforcement of immigration rules,1
32,Stuart Andrew, raising the threshold at which people start to pay income tax,1
33,Stuart Andrew, stronger laws and enforcement of immigration rules,1
34,Stuart Andrew, a reduction in spending on welfare benefits,1
35,Stuart Andrew, an equal number of electors per parliamentary constituency,1
36,Stuart Andrew, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
37,Stuart Andrew, restricting the scope of legal aid,1
38,Stuart Andrew, reducing the rate of corporation tax,1
39,Stuart Andrew, fewer obstacles for access to abortion,1
40,Tonia Antoniazzi, transferring more powers to the Senedd/Welsh Parliament,1
41,Tonia Antoniazzi, more powers for the devolved administration in Northern Ireland,1
42,Tonia Antoniazzi, more EU integration,1
43,Tonia Antoniazzi, a right to remain for EU nationals already in living in the UK,1
44,Tonia Antoniazzi, measures to prevent climate change,1
45,Edward Argar, public health measures and social restrictions to reduce the spread of COVID-19,1
46,Edward Argar, stronger laws and enforcement of immigration rules,1
47,Victoria Atkins, more restrictive regulation of trade union activity,1
48,Victoria Atkins, public health measures and social restrictions to reduce the spread of COVID-19,1
49,Victoria Atkins, stronger laws and enforcement of immigration rules,1
50,Gareth Bacon, stronger laws and enforcement of immigration rules,1
51,Kemi Badenoch, a stricter asylum system,1
52,Kemi Badenoch, stronger laws and enforcement of immigration rules,1
53,Harriett Baldwin, a reduction in spending on welfare benefits,1
54,Harriett Baldwin, new high speed rail infrastructure,1
55,Harriett Baldwin, raising the threshold at which people start to pay income tax,1
56,Harriett Baldwin, reducing the rate of corporation tax,1
58,Harriett Baldwin, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
59,Harriett Baldwin, restricting the scope of legal aid,1
60,Harriett Baldwin, an equal number of electors per parliamentary constituency,1
61,Harriett Baldwin, a stricter asylum system,1
62,Harriett Baldwin, stronger laws and enforcement of immigration rules,1
63,Steve Barclay, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
64,Steve Barclay, restricting the scope of legal aid,1
65,Steve Barclay, a stricter asylum system,1
66,Steve Barclay, stronger laws and enforcement of immigration rules,1
67,Steve Barclay, a reduction in spending on welfare benefits,1
68,Steve Barclay, raising the threshold at which people start to pay income tax,1
69,Steve Barclay, more restrictive regulation of trade union activity,1
70,Steve Barclay, reducing the rate of corporation tax,1
71,Steve Barclay, an equal number of electors per parliamentary constituency,1
72,Apsana Begum, measures to prevent climate change,1
73,Apsana Begum, more EU integration,1
74,Hilary Benn, fewer obstacles for access to abortion,1
75,Hilary Benn, a lower voting age,1
76,Hilary Benn, more powers for the devolved administration in Northern Ireland,1
77,Hilary Benn, measures to prevent climate change,1
78,Hilary Benn, Labours anti-terrorism laws,1
79,Hilary Benn, raising welfare benefits at least in line with prices,1
80,Hilary Benn, equal gay rights,1
81,Clive Betts, increasing capital gains tax,1
82,Clive Betts, Labours anti-terrorism laws,1
83,Clive Betts, a lower voting age,1
84,Clive Betts, more powers for the devolved administration in Northern Ireland,1
85,Clive Betts, raising welfare benefits at least in line with prices,1
86,Clive Betts, equal gay rights,1
87,Clive Betts, measures to prevent climate change,1
88,Saqib Bhatti, stronger laws and enforcement of immigration rules,1
89,Bob Blackman, stronger laws and enforcement of immigration rules,1
90,Bob Blackman, reducing the rate of corporation tax,1
91,Bob Blackman, measures to reduce tax avoidance,1
92,Bob Blackman, a reduction in spending on welfare benefits,1
93,Bob Blackman, an equal number of electors per parliamentary constituency,1
94,Bob Blackman, reducing central government funding of local government,1
95,Bob Blackman, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
96,Bob Blackman, restricting the scope of legal aid,1
97,Bob Blackman, raising the threshold at which people start to pay income tax,1
98,Bob Blackman, a referendum on the UKs membership of the EU,1
99,Kirsty Blackman, more EU integration,1
100,Kirsty Blackman, a right to remain for EU nationals already in living in the UK,1
101,Kirsty Blackman, transferring more powers to the Scottish Parliament,1
102,Olivia Blake, more EU integration,1
103,Olivia Blake, measures to prevent climate change,1
104,Andrew Bowie, stronger laws and enforcement of immigration rules,1
105,Karen Bradley, a reduction in spending on welfare benefits,1
106,Karen Bradley, raising the threshold at which people start to pay income tax,1
107,Karen Bradley, an equal number of electors per parliamentary constituency,1
108,Karen Bradley, reducing central government funding of local government,1
109,Karen Bradley, new high speed rail infrastructure,1
110,Karen Bradley, reducing the rate of corporation tax,1
112,Karen Bradley, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
113,Karen Bradley, restricting the scope of legal aid,1
114,Suella Braverman, more restrictive regulation of trade union activity,1
115,Suella Braverman, a stricter asylum system,1
116,Suella Braverman, public health measures and social restrictions to reduce the spread of COVID-19,1
117,Chris Bryant, more powers for the devolved administration in Northern Ireland,1
118,Chris Bryant, paying higher benefits over longer periods for those unable to work due to illness or disability,1
119,Chris Bryant, raising welfare benefits at least in line with prices,1
120,Chris Bryant, measures to prevent climate change,1
121,Chris Bryant, fewer obstacles for access to abortion,1
122,Chris Bryant, more EU integration,1
123,Chris Bryant, UK membership of the EU,1
124,Chris Bryant, a right to remain for EU nationals already in living in the UK,1
125,Chris Bryant, Labours anti-terrorism laws,1
126,Chris Bryant, equal gay rights,1
127,Alex Burghart, stronger laws and enforcement of immigration rules,1
128,Richard Burgon, transferring more powers to the Senedd/Welsh Parliament,1
129,Richard Burgon, more powers for the devolved administration in Northern Ireland,1
130,Richard Burgon, paying higher benefits over longer periods for those unable to work due to illness or disability,1
131,Richard Burgon, measures to prevent climate change,1
132,Dawn Butler, measures to prevent climate change,1
133,Dawn Butler, fewer obstacles for access to abortion,1
134,Dawn Butler, transferring more powers to the Senedd/Welsh Parliament,1
135,Dawn Butler, more EU integration,1
136,Dawn Butler, UK membership of the EU,1
137,Ian Byrne, measures to prevent climate change,1
138,Liam Byrne, increasing capital gains tax,1
139,Liam Byrne, measures to prevent climate change,1
140,Liam Byrne, paying higher benefits over longer periods for those unable to work due to illness or disability,1
141,Liam Byrne, raising welfare benefits at least in line with prices,1
142,Ruth Cadbury, paying higher benefits over longer periods for those unable to work due to illness or disability,1
143,Ruth Cadbury, transferring more powers to the Senedd/Welsh Parliament,1
144,Ruth Cadbury, more powers for the devolved administration in Northern Ireland,1
145,Ruth Cadbury, measures to prevent climate change,1
146,Ruth Cadbury, higher taxes on banks,1
147,Ruth Cadbury, increasing capital gains tax,1
148,Ruth Cadbury, more EU integration,1
149,Ruth Cadbury, UK membership of the EU,1
150,Ruth Cadbury, a right to remain for EU nationals already in living in the UK,1
151,Alan Campbell, a lower voting age,1
152,Alan Campbell, more powers for the devolved administration in Northern Ireland,1
153,Alan Campbell, increasing capital gains tax,1
154,Alan Campbell, more EU integration,1
155,Alan Campbell, smoking bans,1
156,Alan Campbell, equal gay rights,1
157,Alan Campbell, measures to prevent climate change,1
158,Alan Campbell, new high speed rail infrastructure,1
160,Alan Campbell, paying higher benefits over longer periods for those unable to work due to illness or disability,1
161,Alan Campbell, raising welfare benefits at least in line with prices,1
163,Gregory Campbell, a referendum on the UKs membership of the EU,1
164,Gregory Campbell, use of UK military forces in combat operations overseas,1
165,Dan Carden, transferring more powers to the Senedd/Welsh Parliament,1
166,Dan Carden, more EU integration,1
167,Dan Carden, a right to remain for EU nationals already in living in the UK,1
168,Alistair Carmichael, academy schools,1
169,Alistair Carmichael, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
170,Alistair Carmichael, fewer obstacles for access to abortion,1
171,Alistair Carmichael, greater restrictions on campaigning by third parties,1
172,Alistair Carmichael, a right to remain for EU nationals already in living in the UK,1
173,Alistair Carmichael, higher taxes on plane tickets,1
175,Alistair Carmichael, higher taxes on banks,1
176,Alistair Carmichael, equal gay rights,1
178,James Cartlidge, stronger laws and enforcement of immigration rules,1
179,Sarah Champion, measures to prevent climate change,1
180,Sarah Champion, the preservation of environmental protections after withdrawal from the EU,1
181,Bambos Charalambous, measures to prevent climate change,1
182,Bambos Charalambous, more EU integration,1
183,Bambos Charalambous, a right to remain for EU nationals already in living in the UK,1
184,Bambos Charalambous, transferring more powers to the Senedd/Welsh Parliament,1
185,Bambos Charalambous, more powers for the devolved administration in Northern Ireland,1
186,Christopher Chope, restricting the scope of legal aid,1
187,Christopher Chope, use of UK military forces in combat operations overseas,1
188,Christopher Chope, a reduction in spending on welfare benefits,1
189,Christopher Chope, reducing the rate of corporation tax,1
190,Christopher Chope, stronger laws and enforcement of immigration rules,1
191,Feryal Clark, measures to prevent climate change,1
192,James Cleverly, a reduction in spending on welfare benefits,1
193,James Cleverly, public health measures and social restrictions to reduce the spread of COVID-19,1
194,James Cleverly, stronger laws and enforcement of immigration rules,1
195,Geoffrey Clifton-Brown, a stricter asylum system,1
196,Geoffrey Clifton-Brown, stronger laws and enforcement of immigration rules,1
197,Geoffrey Clifton-Brown, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
198,Geoffrey Clifton-Brown, restricting the scope of legal aid,1
199,Geoffrey Clifton-Brown, an equal number of electors per parliamentary constituency,1
200,Geoffrey Clifton-Brown, raising the threshold at which people start to pay income tax,1
201,Geoffrey Clifton-Brown, higher taxes on alcoholic drinks,1
202,Geoffrey Clifton-Brown, greater autonomy for schools,1
203,Geoffrey Clifton-Brown, a reduction in spending on welfare benefits,1
204,Geoffrey Clifton-Brown, reducing the rate of corporation tax,1
205,Geoffrey Clifton-Brown, measures to reduce tax avoidance,1
206,Daisy Cooper, measures to prevent climate change,1
207,Yvette Cooper, increasing capital gains tax,1
208,Yvette Cooper, equal gay rights,1
209,Yvette Cooper, measures to prevent climate change,1
210,Yvette Cooper, introducing ID cards,1
211,Yvette Cooper, paying higher benefits over longer periods for those unable to work due to illness or disability,1
212,Yvette Cooper, raising welfare benefits at least in line with prices,1
213,Yvette Cooper, fewer obstacles for access to abortion,1
214,Yvette Cooper, more powers for the devolved administration in Northern Ireland,1
215,Jeremy Corbyn, more powers for the devolved administration in Northern Ireland,1
216,Jeremy Corbyn, laws to promote equality and human rights,1
217,Jeremy Corbyn, increasing capital gains tax,1
218,Jeremy Corbyn, raising welfare benefits at least in line with prices,1
219,Alberto Costa, a stricter asylum system,1
220,Alberto Costa, stronger laws and enforcement of immigration rules,1
221,Claire Coutinho, stronger laws and enforcement of immigration rules,1
222,Geoffrey Cox, a reduction in spending on welfare benefits,1
223,Geoffrey Cox, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
224,Geoffrey Cox, reducing the rate of corporation tax,1
225,Geoffrey Cox, measures to reduce tax avoidance,1
226,Geoffrey Cox, new high speed rail infrastructure,1
228,Geoffrey Cox, a stricter asylum system,1
229,Geoffrey Cox, stronger laws and enforcement of immigration rules,1
230,Geoffrey Cox, an equal number of electors per parliamentary constituency,1
231,Geoffrey Cox, greater restrictions on campaigning by third parties,1
232,Geoffrey Cox, increasing the rate of VAT,1
233,Geoffrey Cox, raising the threshold at which people start to pay income tax,1
234,Geoffrey Cox, higher taxes on alcoholic drinks,1
235,Geoffrey Cox, more restrictive regulation of trade union activity,1
236,Neil Coyle, fewer obstacles for access to abortion,1
237,Neil Coyle, transferring more powers to the Senedd/Welsh Parliament,1
238,Neil Coyle, more powers for the devolved administration in Northern Ireland,1
239,Neil Coyle, more EU integration,1
240,Neil Coyle, a right to remain for EU nationals already in living in the UK,1
241,Neil Coyle, measures to prevent climate change,1
242,Neil Coyle, paying higher benefits over longer periods for those unable to work due to illness or disability,1
243,Neil Coyle, increasing capital gains tax,1
244,Mary Creagh, increasing capital gains tax,1
245,Mary Creagh, paying higher benefits over longer periods for those unable to work due to illness or disability,1
246,Mary Creagh, a right to remain for EU nationals already in living in the UK,1
247,Stella Creasy, laws to promote equality and human rights,1
248,Stella Creasy, more powers for the devolved administration in Northern Ireland,1
249,Stella Creasy, paying higher benefits over longer periods for those unable to work due to illness or disability,1
250,Stella Creasy, raising welfare benefits at least in line with prices,1
251,Stella Creasy, more EU integration,1
252,Stella Creasy, a right to remain for EU nationals already in living in the UK,1
253,Stella Creasy, increasing capital gains tax,1
254,Stella Creasy, measures to prevent climate change,1
255,Judith Cummins, higher taxes on banks,1
256,Judith Cummins, paying higher benefits over longer periods for those unable to work due to illness or disability,1
257,Judith Cummins, measures to prevent climate change,1
258,Judith Cummins, the preservation of environmental protections after withdrawal from the EU,1
259,Janet Daby, measures to prevent climate change,1
260,Nicholas Dakin, increasing capital gains tax,1
261,Nicholas Dakin, laws to promote equality and human rights,1
262,Nicholas Dakin, paying higher benefits over longer periods for those unable to work due to illness or disability,1
263,Edward Davey, a right to remain for EU nationals already in living in the UK,1
264,Edward Davey, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
265,Edward Davey, restricting the scope of legal aid,1
266,Edward Davey, higher taxes on plane tickets,1
268,Edward Davey, new high speed rail infrastructure,1
269,Edward Davey, equal gay rights,1
270,Edward Davey, fewer obstacles for access to abortion,1
271,Edward Davey, reducing the rate of corporation tax,1
274,Edward Davey, higher taxes on banks,1
275,Gareth Davies, stronger laws and enforcement of immigration rules,1
276,Gareth Davies, public health measures and social restrictions to reduce the spread of COVID-19,1
277,Mims Davies, more restrictive regulation of trade union activity,1
278,Mims Davies, stronger laws and enforcement of immigration rules,1
279,Alex Davies-Jones, measures to prevent climate change,1
280,David Davis, reducing central government funding of local government,1
281,David Davis, greater autonomy for schools,1
282,Marsha de Cordova, more EU integration,1
283,Marsha de Cordova, a right to remain for EU nationals already in living in the UK,1
284,Marsha de Cordova, transferring more powers to the Senedd/Welsh Parliament,1
285,Marsha de Cordova, more powers for the devolved administration in Northern Ireland,1
286,Marsha de Cordova, measures to prevent climate change,1
287,Tan Dhesi, measures to prevent climate change,1
288,Tan Dhesi, fewer obstacles for access to abortion,1
289,Tan Dhesi, transferring more powers to the Senedd/Welsh Parliament,1
290,Tan Dhesi, more powers for the devolved administration in Northern Ireland,1
291,Tan Dhesi, more EU integration,1
292,Tan Dhesi, a right to remain for EU nationals already in living in the UK,1
293,Caroline Dinenage, greater autonomy for schools,1
294,Caroline Dinenage, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
295,Caroline Dinenage, restricting the scope of legal aid,1
296,Caroline Dinenage, an equal number of electors per parliamentary constituency,1
297,Caroline Dinenage, reducing central government funding of local government,1
298,Caroline Dinenage, a stricter asylum system,1
299,Caroline Dinenage, stronger laws and enforcement of immigration rules,1
300,Caroline Dinenage, a reduction in spending on welfare benefits,1
301,Caroline Dinenage, raising the threshold at which people start to pay income tax,1
302,Caroline Dinenage, more restrictive regulation of trade union activity,1
303,Caroline Dinenage, public health measures and social restrictions to reduce the spread of COVID-19,1
304,Caroline Dinenage, reducing the rate of corporation tax,1
305,Caroline Dinenage, measures to reduce tax avoidance,1
306,Anneliese Dodds, transferring more powers to the Senedd/Welsh Parliament,1
307,Anneliese Dodds, more powers for the devolved administration in Northern Ireland,1
308,Anneliese Dodds, fewer obstacles for access to abortion,1
309,Anneliese Dodds, more EU integration,1
310,Anneliese Dodds, a right to remain for EU nationals already in living in the UK,1
311,Stephen Doughty, more EU integration,1
312,Stephen Doughty, a right to remain for EU nationals already in living in the UK,1
313,Stephen Doughty, measures to prevent climate change,1
314,Stephen Doughty, paying higher benefits over longer periods for those unable to work due to illness or disability,1
315,Stephen Doughty, raising welfare benefits at least in line with prices,1
316,Stephen Doughty, laws to promote equality and human rights,1
317,Peter Dowd, transferring more powers to the Senedd/Welsh Parliament,1
318,Peter Dowd, measures to prevent climate change,1
319,Peter Dowd, higher taxes on banks,1
320,Peter Dowd, fewer obstacles for access to abortion,1
321,Oliver Dowden, a stricter asylum system,1
322,Oliver Dowden, stronger laws and enforcement of immigration rules,1
323,Oliver Dowden, more restrictive regulation of trade union activity,1
324,Rosie Duffield, measures to prevent climate change,1
325,Rosie Duffield, more EU integration,1
326,Rosie Duffield, a right to remain for EU nationals already in living in the UK,1
327,Rosie Duffield, transferring more powers to the Senedd/Welsh Parliament,1
328,Rosie Duffield, more powers for the devolved administration in Northern Ireland,1
329,Iain Duncan Smith, the policies included in the 2010 Conservative - Liberal Democrat Coalition Agreement,1
330,Iain Duncan Smith, restricting the scope of legal aid,1
331,Iain Duncan Smith, stronger laws and enforcement of immigration rules,1
332,Iain Duncan Smith, a reduction in spending on welfare benefits,1
333,Iain Duncan Smith, an equal number of electors per parliamentary constituency,1
334,Iain Duncan Smith, greater restrictions on campaigning by third parties,1
335,Iain Duncan Smith, raising the threshold at which people start to pay income tax,1
336,Iain Duncan Smith, greater autonomy for schools,1
337,Iain Duncan Smith, reducing the rate of corporation tax,1
